""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-11"	0.745316897618946	0.450166463815261	0.347379706922587	0.60766769475777	0.676566410800012	0.324970884978068	0.783712806183239	0.335756299413957	0.459883698145519	0.752239933961376	0	0.69883881483324	0.369414822680989	0.690373746695192	0.501710805770167	0.21357362940953	0.229259030883539	0.68682404140247	0.779927967096507	0.584399853965337	0.555803816339281	0.736733011110681	0.221385336155802	0.6097480088265	0.756151080630779	0.471415575309891	0.396792523370192	0.740950922552903	0.720727306488521	0.221095549391649	0.76503559225135	0.49163593992917	0.754377637916469	0.551598655139625	0.594226152905018	0.342648295038168	0.718101022519626	0.469824894827092	0.265514491360926	0.700643933824899	0.379466865783806	0.762452165548741	0.767986765648229	0.518515192983538	0.520572706343508	0.76945724321419	0.406987940509329	0.737539354773568	0.765431264787205	0.457802728986637	0.23250687981281	0.632518649148871	0.214289229048416	0.702286920552814	0.407834155748877	0.788769616325152	0.779861106953693	0.447846073741536	0.638999766314116	0.436092059881407	0.742458291425309	0.68772125488937	0.305690871076625	0.254030603879718	0.337203210622342	0.751100536699482	0.527839269730113	0.55542418292797	0.769486713028458	0.413671112088576	0.634582184812614
"AqFl2-12"	0.637990796258342	0.677395462809944	0.763662849829174	0.499923160987563	0.427825420408804	0.712312364800904	0.689598516536197	0.728755372922265	0.69697885622361	0.649450905649937	0.69883881483324	0	0.701884492398445	0.648169411729969	0.505572882281399	0.734237800834652	0.728293231230728	0.447311692232748	0.634918722834271	0.622058478644725	0.69703624065649	0.674342508094804	0.669013967284046	0.415146374029071	0.673024680194964	0.687590843050598	0.6752346079318	0.47394170264214	0.466430861496022	0.697135091089707	0.649139142079887	0.653194317812104	0.665514327825348	0.706246978583801	0.514219892728994	0.656271224288261	0.619430464443923	0.71694664280103	0.654898033230591	0.457429127695926	0.627754799966805	0.497589166982979	0.676071299497199	0.66834546900533	0.717432240166236	0.648256618465817	0.654336212890884	0.451655019467595	0.662760308738171	0.606975926562491	0.696612068024364	0.492952006562005	0.672106965158071	0.531640658689507	0.668304690581775	0.636855362262753	0.666479364486791	0.670642996310289	0.472227570980065	0.694068495794158	0.636005886080326	0.423892592146841	0.646785380717883	0.735504583692719	0.738573386003095	0.684427094999357	0.668848252407127	0.629704540473438	0.647889266556976	0.720649909693686	0.449312522796336
"AqFl2-13"	0.709347979160457	0.399293272111107	0.509100782229096	0.621352547922944	0.704975998149732	0.443458881522161	0.745399119018159	0.372638273618201	0.38799202128071	0.719746017727494	0.369414822680989	0.701884492398445	0	0.640524798930705	0.581932696677859	0.374793804376221	0.484403524867946	0.693112285162712	0.749244039391453	0.478800439637055	0.386586802879358	0.655978629353794	0.399099856600164	0.614481379935326	0.721599813399317	0.255582318643363	0.496383635638047	0.734407332620132	0.712309905167432	0.360883568249305	0.73212455936686	0.359665333021578	0.722088470103372	0.442994306177613	0.620282146120422	0.461996236410046	0.676868237167255	0.283263683552952	0.397641373289428	0.665125911662613	0.351806353825787	0.723095914652137	0.7378928331837	0.406403688856764	0.317058861978751	0.740010952421875	0.50223736763899	0.733094709493758	0.731858526180821	0.496719201684697	0.460650356230524	0.677083103346252	0.393008185704751	0.667231639036024	0.354516013737673	0.759329238195607	0.75552027629275	0.41634384107017	0.691256604734178	0.4055377092507	0.702291016098541	0.678240354650798	0.402785058801038	0.415849047106793	0.349944013000233	0.714796191674699	0.419760574253767	0.499826991881585	0.737441384478494	0.479504490434854	0.626093584118807
"AqFl2-14"	0.423052527080703	0.579230908599777	0.759864895613525	0.624407458599375	0.580763086270832	0.720879906118644	0.394173736929662	0.679671962155345	0.563274226911335	0.480404983013366	0.690373746695192	0.648169411729969	0.640524798930705	0	0.643208734682557	0.740471469109591	0.72838501983008	0.604993203665022	0.444475063160304	0.443205487970113	0.533565260257681	0.35506327640953	0.72296186108337	0.629781017165933	0.4385653380774	0.572601612409179	0.654490223757224	0.621909861531733	0.635027548514222	0.720299221649376	0.42856257874694	0.546134334795359	0.452321958244055	0.522801053516071	0.64788761737849	0.662343981131444	0.416573454605176	0.623534478002255	0.669012444705553	0.62981064357048	0.62260482014358	0.557278282946489	0.438415138383416	0.510461317778388	0.655433211017792	0.488108579832957	0.659389094892531	0.602462868653871	0.417761251006447	0.475792674594001	0.704671704692254	0.615757428967724	0.708802249881597	0.564839050917791	0.53223214346972	0.478077863469994	0.434802771519474	0.562204163445831	0.621098722529357	0.522196566995466	0.373854116746672	0.639211336154709	0.674857079525713	0.728652017848936	0.726870282259065	0.443115471478304	0.465567864810342	0.444027197996946	0.439980805897551	0.710806234103921	0.595056096813499
"AqFl2-15"	0.679635582229447	0.574362876310162	0.559083885544512	0.449573280984004	0.518891746910993	0.608269084128681	0.706919840533758	0.553689364844943	0.573824099941972	0.674876081123988	0.501710805770167	0.505572882281399	0.581932696677859	0.643208734682557	0	0.557363520153921	0.526996258396519	0.523583287487696	0.701340927228569	0.549818568167839	0.627951178132787	0.711326043392992	0.450067607810378	0.432555275856088	0.700696646341245	0.563920836427858	0.513819981329916	0.556236676153636	0.52581416029301	0.524050108952637	0.667628319376087	0.580615694968323	0.686288947443119	0.654456883270437	0.456855668788061	0.561257247800998	0.636635109311911	0.61204210652113	0.500950383285997	0.584291498988014	0.495857219727252	0.653128278112866	0.718778796524837	0.561201364837465	0.60582662184881	0.683128209682928	0.528730301428839	0.59123488489732	0.677951113697771	0.51899840843736	0.522886485485637	0.494650363647959	0.477075987194032	0.565231988358176	0.559566406937966	0.713303197663536	0.715643296858384	0.572891917896747	0.535123215987065	0.566521120967852	0.673335351924502	0.467669419165078	0.479455388652272	0.551566265429746	0.579334607304102	0.690585565880767	0.582531986713	0.539793743382726	0.700845794588598	0.562097385866265	0.457687752885633
"AqFl2-16"	0.778327692658727	0.493153050484131	0.396094039621152	0.658010926886036	0.714789325395444	0.358395766497381	0.817409675581669	0.400418215712214	0.467339539984951	0.781057949517479	0.21357362940953	0.734237800834652	0.374793804376221	0.740471469109591	0.557363520153921	0	0.236468592857049	0.728042278393706	0.8081955502458	0.619618243453649	0.545163196017519	0.74037626002196	0.235557271624729	0.654084807174853	0.789875259721041	0.478117755382202	0.411269927555565	0.747420177965588	0.75660002479232	0.265755534781587	0.795224830883683	0.533984074566683	0.789741079993413	0.551118316899487	0.640751295836658	0.417036914900427	0.752582957810779	0.428841143451516	0.346284650070651	0.739040796519632	0.411263370809823	0.790869543016866	0.799550019897145	0.558364298627313	0.510221767899091	0.798945432829128	0.468500308634212	0.773924779338973	0.794419707772912	0.519120432457569	0.245542267258631	0.673814642911302	0.262503360477401	0.734688691823674	0.46910898081701	0.816324653560867	0.817285735950922	0.510531650251703	0.69695229958694	0.506842896228625	0.777596772159098	0.725036872368951	0.350372666720739	0.275770495196815	0.301557512690795	0.781616928148146	0.593884110579977	0.606013415244466	0.799762651210255	0.455489981230876	0.67578775224183
"AqFl2-17"	0.769494764150462	0.508903354936864	0.345230857969069	0.657285720204642	0.707999623733696	0.286247779106457	0.802793761539491	0.419489739725388	0.436142010954361	0.767889185785765	0.229259030883539	0.728293231230728	0.484403524867946	0.72838501983008	0.526996258396519	0.236468592857049	0	0.713704034879887	0.794381700093148	0.611126565126807	0.61224879884939	0.760987503566579	0.29956413218808	0.653659003604566	0.77316890491502	0.560980001784983	0.393810575329956	0.768979638860973	0.726203150911203	0.313749742374438	0.767926901619719	0.544450925750675	0.773682887690118	0.534334733816153	0.607472776892466	0.41293864504906	0.738273019358896	0.535207860533803	0.377981936357374	0.726887366187558	0.435341577873948	0.778079309380264	0.790852671435388	0.554014256959371	0.589846171600002	0.773542805739807	0.46665969932121	0.75941998942644	0.78040999873409	0.527549913169483	0.162558619884404	0.672123930514767	0.320096035121967	0.709206479913927	0.481273728762909	0.802432012401088	0.796217579187041	0.499094773142542	0.676449242856211	0.48514787753846	0.768309610243085	0.719987966909166	0.389874121588575	0.342981775829095	0.446765987303076	0.756867587852526	0.594139341101294	0.567077812010144	0.785037513033586	0.414643912226348	0.67423983439342
"AqFl2-18"	0.629289724312111	0.658391346821829	0.745981640093663	0.497993266781976	0.407469683043335	0.709900112482178	0.656998110400057	0.672377929025091	0.647096090004932	0.610737875862392	0.68682404140247	0.447311692232748	0.693112285162712	0.604993203665022	0.523583287487696	0.728042278393706	0.713704034879887	0	0.588600829131803	0.620386172176875	0.68482280863075	0.654925139738703	0.697523736085307	0.420171781380375	0.647974514502033	0.666325589084558	0.664403419101656	0.453678058017177	0.469924447942988	0.719557164210766	0.629525190698521	0.641094349729104	0.609963355216599	0.683805283109472	0.541610670648728	0.631986021831667	0.565456635476331	0.704971163344051	0.690680109829242	0.441263424883778	0.642342225364128	0.499399055897444	0.660424070643998	0.651700313463173	0.713132651670307	0.620016472515857	0.641368546830518	0.455314317352911	0.583831041671105	0.59385970169706	0.69365265687681	0.456654676355527	0.699458395387522	0.454278602426597	0.6330897472116	0.606890767552887	0.619718008533061	0.599126067953328	0.415087709383451	0.606438615404181	0.615075741224615	0.434000341899572	0.656533564763332	0.7249239367717	0.727271823076569	0.627725531035984	0.627014563170233	0.607682363053896	0.603367558822973	0.727807591194609	0.464741358919348
"AqFl2-19"	0.397058767442781	0.692534371831719	0.841504551700248	0.692758758643523	0.599691468692709	0.797015281878658	0.355498822901391	0.782401873057739	0.663626467696011	0.357220761040032	0.779927967096507	0.634918722834271	0.749244039391453	0.444475063160304	0.701340927228569	0.8081955502458	0.794381700093148	0.588600829131803	0	0.562593228893443	0.679450790103367	0.440851134036036	0.798367398716639	0.655163268812421	0.343555539729686	0.694888069027383	0.728296336764207	0.626392450517362	0.637718385913465	0.799371371115246	0.390445138600601	0.634085750794624	0.309452830260864	0.647675442935264	0.661946895566033	0.710591641283922	0.420915762860194	0.75668737708141	0.76552943279296	0.574366274782156	0.724610880720748	0.517414959164057	0.384793152491525	0.611354570377336	0.750024878267994	0.344954972188416	0.752082183012134	0.614690575270737	0.400055433026757	0.621384221164014	0.780821256217193	0.598853781999773	0.786632898814193	0.541824730437433	0.66892695937071	0.349532199080668	0.36104815913303	0.652328027436784	0.629949479809168	0.663605666211468	0.387152630580598	0.591121226203244	0.754538828005388	0.828953612832292	0.828493941299821	0.384855132142159	0.649718864772533	0.562944830531959	0.317222548907361	0.799082145011343	0.631640993624794
"AqFl2-20"	0.494644660232032	0.434188333205393	0.645709109514747	0.58099258723392	0.62459450546396	0.620028866266272	0.531277883138224	0.515455379467388	0.395406172620796	0.524636780630148	0.584399853965337	0.622058478644725	0.478800439637055	0.443205487970113	0.549818568167839	0.619618243453649	0.611126565126807	0.620386172176875	0.562593228893443	0	0.467720797993256	0.452803791710362	0.562108153084881	0.56364032845407	0.509756088332493	0.403443505428054	0.537272462051466	0.675631025402388	0.638612102775702	0.560000178862748	0.525424577187009	0.355011385744205	0.520935847204808	0.435018353151634	0.576922603976146	0.530322529497082	0.46005590592517	0.496474573154195	0.538925094506933	0.578466233851213	0.44743181088971	0.57367108044133	0.562504640609111	0.306691942903163	0.460029751242669	0.54767547994463	0.555303378098608	0.639620053535498	0.535165557275373	0.414471535549506	0.59082029363057	0.620448356310263	0.552287606437089	0.562421717844642	0.421247682523544	0.561902223202116	0.551418411231557	0.422973664298222	0.630451064592845	0.408711779241989	0.498429021329435	0.601923976663121	0.527921108464354	0.616446562214954	0.61024276574232	0.520113966164449	0.382919546165261	0.365380126015958	0.534642474624004	0.591586538813726	0.543159918934417
