""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-11"	0.992647058823529	0.886363636363636	0.636363636363636	0.936507936507937	0.962406015037594	0.666666666666667	1	0.714285714285714	0.837209302325581	0.985714285714286	0	0.971428571428571	0.8	0.983606557377049	0.86046511627907	0.642857142857143	0.588235294117647	0.975	0.99016393442623	0.933333333333333	0.951219512195122	0.992957746478873	0.461538461538462	0.91566265060241	0.993650793650794	0.888888888888889	0.7	0.991525423728814	0.965277777777778	0.454545454545455	0.99	0.886363636363636	0.982935153583618	0.895833333333333	0.918032786885246	0.631578947368421	0.976415094339623	0.84	0.5	0.957627118644068	0.727272727272727	0.983240223463687	0.990476190476191	0.892857142857143	0.818181818181818	0.98813056379822	0.857142857142857	0.986111111111111	0.989051094890511	0.857142857142857	0.705882352941177	0.959183673469388	0.538461538461538	0.962686567164179	0.793103448275862	0.993710691823899	0.990322580645161	0.785714285714286	0.980952380952381	0.806451612903226	0.990909090909091	0.96	0.6875	0.857142857142857	0.857142857142857	0.989090909090909	0.897959183673469	0.929411764705882	0.990066225165563	0.722222222222222	0.950980392156863
"AqFl2-12"	0.938775510204082	0.922480620155039	0.990384615384615	0.837037037037037	0.830769230769231	0.97196261682243	0.970899470899471	1	0.931297709923664	0.946478873239437	0.971428571428571	0	0.974358974358974	0.971153846153846	0.888	0.981308411214953	0.954128440366973	0.803370786516854	0.947089947089947	0.9375	0.9609375	0.973568281938326	0.942307692307692	0.823529411764706	0.967005076142132	0.943089430894309	0.954954954954955	0.838888888888889	0.834146341463415	0.980952380952381	0.937837837837838	0.946969696969697	0.959785522788204	0.971223021582734	0.852941176470588	0.945454545454545	0.941379310344828	0.965217391304348	0.972222222222222	0.789772727272727	0.917431192660551	0.817391304347826	0.94300518134715	0.929577464788732	0.973451327433628	0.953883495145631	0.944444444444444	0.802030456852792	0.948424068767908	0.904761904761905	0.953271028037383	0.814814814814815	0.961904761904762	0.860696517412935	0.931623931623932	0.959390862944162	0.955958549222798	0.957983193277311	0.820359281437126	0.967479674796748	0.945945945945946	0.784530386740331	0.952830188679245	1	0.990476190476191	0.948571428571429	0.978723404255319	0.941520467836257	0.963254593175853	0.972727272727273	0.847953216374269
"AqFl2-13"	0.96	0.87037037037037	0.875	0.960526315789474	0.958333333333333	0.857142857142857	0.963333333333333	0.75	0.76	0.94661921708185	0.8	0.974358974358974	0	0.87603305785124	0.803921568627451	0.652173913043478	0.714285714285714	0.937007874015748	0.957654723127036	0.85	0.75	0.892857142857143	0.769230769230769	0.891304347826087	0.958860759493671	0.761904761904762	0.848484848484849	0.968503937007874	0.961290322580645	0.791666666666667	0.956953642384106	0.803921568627451	0.952702702702703	0.796296296296296	0.901408450704225	0.8125	0.914691943127962	0.67741935483871	0.821428571428571	0.9453125	0.823529411764706	0.945652173913043	0.952380952380952	0.806451612903226	0.774193548387097	0.961764705882353	0.838709677419355	0.95364238410596	0.949090909090909	0.75	0.827586206896552	0.963636363636364	0.851851851851852	0.929078014184397	0.72972972972973	0.965732087227414	0.961661341853035	0.789473684210526	0.974137931034483	0.638888888888889	0.936363636363636	0.948148148148148	0.9	0.727272727272727	0.782608695652174	0.933823529411765	0.68	0.855555555555556	0.960655737704918	0.833333333333333	0.908256880733945
"AqFl2-14"	0.745874587458746	0.884892086330935	0.991666666666667	0.957831325301205	0.939130434782609	1	0.772727272727273	0.966666666666667	0.861313868613139	0.745980707395498	0.983606557377049	0.971153846153846	0.87603305785124	0	0.931034482758621	0.966942148760331	0.96	0.934883720930233	0.753012048192771	0.776315789473684	0.817460317460317	0.716494845360825	0.975609756097561	0.934782608695652	0.763157894736842	0.832	0.96875	0.948598130841122	0.954918032786885	0.983471074380165	0.764350453172205	0.825757575757576	0.768292682926829	0.804511278195489	0.94478527607362	0.960629921259842	0.692307692307692	0.884297520661157	0.975806451612903	0.94954128440367	0.936507936507937	0.870588235294118	0.763848396501458	0.782608695652174	0.926829268292683	0.785326086956522	0.951612903225806	0.941176470588235	0.780254777070064	0.875912408759124	0.959349593495935	0.954773869346734	0.983739837398374	0.920704845814978	0.906976744186046	0.8	0.774853801169591	0.897637795275591	0.966019417475728	0.865079365079365	0.713725490196078	0.946428571428571	0.984	0.966101694915254	0.957264957264957	0.761290322580645	0.805970149253731	0.737179487179487	0.765765765765766	0.968	0.935
"AqFl2-15"	0.948275862068966	0.888888888888889	0.904761904761905	0.790123456790123	0.873333333333333	0.914893617021277	0.981481481481482	0.911111111111111	0.808823529411765	0.946488294314381	0.86046511627907	0.888	0.803921568627451	0.931034482758621	0	0.780487804878049	0.804347826086957	0.850746268656716	0.95046439628483	0.911764705882353	0.878787878787879	0.958083832335329	0.785714285714286	0.76530612244898	0.970414201183432	0.873015873015873	0.903846153846154	0.897058823529412	0.853503184713376	0.857142857142857	0.949685534591195	0.888888888888889	0.958860759493671	0.95	0.7875	0.836734693877551	0.921739130434783	0.8	0.869565217391304	0.867647058823529	0.82	0.907692307692308	0.958208955223881	0.879518072289157	0.903846153846154	0.960893854748603	0.854166666666667	0.872611464968153	0.937931034482759	0.784615384615385	0.822222222222222	0.843478260869565	0.863636363636364	0.827586206896552	0.842105263157895	0.970674486803519	0.970059880239521	0.879310344827586	0.840336134453782	0.847457627118644	0.932489451476793	0.874125874125874	0.869565217391304	0.853658536585366	0.880952380952381	0.948979591836735	0.881578947368421	0.920353982300885	0.969325153374233	0.851063829787234	0.82051282051282
"AqFl2-16"	0.992673992673993	0.91304347826087	0.769230769230769	0.9375	0.962686567164179	0.6875	1	0.733333333333333	0.840909090909091	0.982142857142857	0.642857142857143	0.981308411214953	0.652173913043478	0.966942148760331	0.780487804878049	0	0.529411764705882	0.949152542372881	0.990196078431373	0.948051948051948	0.871794871794872	0.978723404255319	0.5	0.890243902439024	0.993670886075949	0.891891891891892	0.772727272727273	0.974358974358974	0.96551724137931	0.615384615384615	0.990033222591362	0.936170212765957	0.986440677966102	0.92	0.883333333333333	0.772727272727273	0.961904761904762	0.636363636363636	0.705882352941177	0.957983193277311	0.84	0.983333333333333	0.987301587301587	0.913793103448276	0.826086956521739	0.991150442477876	0.80952380952381	0.972027972027972	0.985401459854015	0.775	0.647058823529412	0.95959595959596	0.666666666666667	0.955223880597015	0.838709677419355	0.996875	0.993589743589744	0.870967741935484	0.971428571428571	0.774193548387097	0.981735159817352	0.968503937007874	0.777777777777778	0.583333333333333	0.583333333333333	0.978021978021978	0.854166666666667	0.954545454545455	0.993421052631579	0.8	0.92
"AqFl2-17"	0.989169675090253	0.877551020408163	0.6875	0.926470588235294	0.948905109489051	0.631578947368421	1	0.8	0.808510638297872	0.97887323943662	0.588235294117647	0.954128440366973	0.714285714285714	0.96	0.804347826086957	0.529411764705882	0	0.951219512195122	0.987096774193548	0.925	0.886363636363636	0.979452054794521	0.555555555555556	0.883720930232558	0.990625	0.878048780487805	0.72	0.975409836065574	0.952702702702703	0.647058823529412	0.983552631578947	0.877551020408163	0.983277591973244	0.886792452830189	0.875	0.72	0.962790697674419	0.75	0.65	0.951219512195122	0.740740740740741	0.972677595628415	0.984326018808777	0.866666666666667	0.857142857142857	0.985380116959064	0.846153846153846	0.965986394557823	0.982014388489209	0.8	0.6	0.951456310679612	0.684210526315789	0.949275362318841	0.794117647058823	0.993827160493827	0.993690851735016	0.823529411764706	0.953703703703704	0.771428571428571	0.977578475336323	0.953846153846154	0.772727272727273	0.777777777777778	0.777777777777778	0.974729241877256	0.846153846153846	0.934065934065934	0.99025974025974	0.791666666666667	0.923809523809524
"AqFl2-18"	0.941340782122905	0.923076923076923	0.983050847457627	0.845637583892617	0.772727272727273	0.983739837398374	0.958762886597938	0.966386554621849	0.923611111111111	0.934246575342466	0.975	0.803370786516854	0.937007874015748	0.934883720930233	0.850746268656716	0.949152542372881	0.951219512195122	0	0.918848167539267	0.924418604651163	0.942857142857143	0.953586497890295	0.940677966101695	0.765822784810127	0.958024691358025	0.941605839416058	0.968503937007874	0.769230769230769	0.80188679245283	0.974789915966387	0.934725848563969	0.945205479452055	0.942257217847769	0.974025974025974	0.804195804195804	0.943548387096774	0.923076923076923	0.928	0.967213114754098	0.774193548387097	0.91869918699187	0.814049586776859	0.937185929648241	0.943037974683544	0.9765625	0.943127962085308	0.915966386554622	0.775609756097561	0.935933147632312	0.907142857142857	0.941666666666667	0.782352941176471	0.975206611570248	0.78	0.939393939393939	0.93483709273183	0.947103274559194	0.954887218045113	0.774566473988439	0.932330827067669	0.938311688311688	0.794871794871795	0.95	0.956896551724138	0.956896551724138	0.927170868347339	0.925675675675676	0.940540540540541	0.946015424164524	0.967741935483871	0.822222222222222
"AqFl2-19"	0.617647058823529	0.906451612903226	0.996710526315789	0.953079178885631	0.924623115577889	0.996763754045307	0.607565011820331	0.986842105263158	0.917197452229299	0.603406326034063	0.99016393442623	0.947089947089947	0.957654723127036	0.753012048192771	0.95046439628483	0.990196078431373	0.987096774193548	0.918848167539267	0	0.84375	0.932692307692308	0.722713864306785	0.983606557377049	0.944444444444444	0.62979683972912	0.914473684210526	0.980645161290323	0.929319371727749	0.931873479318735	0.990131578947368	0.630484988452656	0.892156862745098	0.616470588235294	0.893548387096774	0.946745562130177	0.977346278317152	0.614754098360656	0.954098360655738	0.986970684039088	0.918848167539267	0.96078431372549	0.845965770171149	0.624434389140271	0.868167202572347	0.957095709570957	0.613186813186813	0.983818770226537	0.918114143920596	0.643540669856459	0.926984126984127	0.98371335504886	0.926027397260274	0.986885245901639	0.9	0.937908496732026	0.650442477876106	0.641891891891892	0.951456310679612	0.932795698924731	0.941747572815534	0.616216216216216	0.903394255874674	0.976973684210526	0.99672131147541	0.993421052631579	0.607843137254902	0.893890675241158	0.816770186335404	0.6	0.98705501618123	0.921195652173913
"AqFl2-20"	0.833333333333333	0.793478260869565	0.973333333333333	0.915966386554622	0.918918918918919	0.962025316455696	0.835483870967742	0.918918918918919	0.741573033707865	0.806896551724138	0.933333333333333	0.9375	0.85	0.776315789473684	0.911764705882353	0.948051948051948	0.925	0.924418604651163	0.84375	0	0.870967741935484	0.808139534883721	0.906666666666667	0.914285714285714	0.837423312883436	0.740740740740741	0.939759036144578	0.941520467836257	0.955445544554455	0.946666666666667	0.837579617834395	0.752808988764045	0.842443729903537	0.789473684210526	0.92436974789916	0.9	0.797413793103448	0.848101265822785	0.935897435897436	0.924418604651163	0.831168831168831	0.865116279069767	0.841463414634146	0.747474747474748	0.871794871794872	0.845272206303725	0.938271604938272	0.938775510204082	0.826989619377163	0.854166666666667	0.923076923076923	0.941935483870968	0.934210526315789	0.913513513513514	0.817073170731707	0.845921450151057	0.842592592592593	0.843373493975904	0.96319018404908	0.792682926829268	0.786324786324786	0.921348314606742	0.922077922077922	0.973684210526316	0.973684210526316	0.823529411764706	0.804123711340206	0.745901639344262	0.845911949685535	0.9375	0.923566878980892
