""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-60"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-11"	43.999730283694	24.8988852320698	27.8449132930197	54.8368777872744	33.389128368711	10.414594276529	49.3749470322606	25.7586332635892	20.3727193396552	46.8075774152621	0	40.8192236631904	28.0948912246609	41.2472196614559	37.6228879184596	19.733803023474	18.9968600315154	50.7206391482745	41.4241601857552	26.6810614883825	35.1907226406744	45.5961777685526	10.5899577993676	41.4969636075385	41.8263087100799	19.986953567591	15.1574701798245	37.0397750309557	47.5776943885677	22.9111419922884	40.5170065724476	26.7665586269168	31.3482939551583	21.1013552825142	46.9702220516844	20.4330078247736	47.1963411156348	34.3362031241878	6.60966880353529	41.7684770859222	24.6320169785297	44.7406283737781	38.0820322077666	22.0589243797814	18.9526439852319	35.4425682603125	38.2011019089719	44.0741530850723	52.1778079862842	29.6752636182217	22.7009702685522	42.1662508444985	14.258017234527	37.7166471795833	21.5230205387837	39.9535779092388	45.4965160624603	22.9644627981231	48.9948526294498	32.8367514463878	33.6261295644952	43.3597591866111	37.4128576310009	14.9868452186394	38.175595495806	39.2434986771882	47.2334544304647	41.0604594714397	25.1981880810268	43.4236741082115	30.6082000343605	45.8716686466464
"AqFl2-12"	33.1626223584255	32.1287912654571	41.5369879194654	31.6618057297653	20.9474912749271	40.1751237564514	63.4035762842938	46.0701400802158	33.1114561470447	34.9444101599914	40.8192236631904	0	49.42657159545	47.0817056352221	30.7817441361254	49.6441244117374	42.086017718086	29.9850460348061	32.00837706467	36.8595435992631	50.9686826811368	52.3945026859701	37.6015257070029	27.3979027577457	52.1785214648171	40.6126768059521	38.7546126343234	38.256090650781	30.8631372375614	32.3158241068802	31.8241497461396	29.8370001492075	39.1331962111953	43.1379032334054	26.2190010388471	30.7474647754342	44.0937143552811	48.3681297284899	43.876160691021	20.2484070347339	20.2635200056062	19.4561673850342	35.1628263026257	39.4782031141422	46.194297524921	46.5166793425422	37.1972148387718	31.343297886484	39.3642680649065	28.010836037009	29.188441877661	16.8199801675228	39.458674863222	23.7924138485598	30.9572203762025	37.3248130404716	39.4591127436504	29.412470102171	23.3897045577019	30.8099567878099	46.7212570166798	32.8801216537111	12.9611014215551	30.0295208555788	50.3346970461687	44.1423980318533	47.8366869765461	53.3927925822596	34.7992323083973	40.0171777077994	42.1124077903942	24.7028384213231
"AqFl2-13"	44.3420410868171	34.6753628750867	31.0818080791322	59.2342877667296	47.9702795030393	30.2906378901639	46.3165698093303	26.8959518625462	25.4069939148385	43.6392358779537	28.0948912246609	49.42657159545	0	24.9443005685903	31.7490581860744	16.9393350911733	19.1085461831972	45.8144347623708	42.5845711987351	33.2488038194199	20.6209019792749	29.8614658251511	27.9755683404731	44.1676080432957	40.2936058936737	32.5080660486643	29.6603937332455	41.1590048366677	49.2831791546695	31.0491157786163	42.4731873080787	36.3405140921301	33.045320631442	30.1274468130346	44.7419956079575	23.4787186022391	34.3461541464056	24.8796902055572	27.7820906417396	50.4469669152546	35.9146136338926	49.0853516027647	37.1966867255952	32.4498935800342	26.963889652128	35.0118827631518	28.4198852348007	38.8123060348526	47.0130465054217	33.1943686725194	34.4280220343006	47.718550163335	30.6852197932302	44.1937486335546	36.1620501622213	40.5224997986212	42.1266485051889	29.5668917922299	53.3841512568128	36.6419061376399	20.0191374238992	35.7520999760208	48.045017838559	32.5123826672308	27.8599783895698	26.7964906392557	34.7189407952303	22.2689429286319	28.6852928277672	42.8604568211425	26.4984514658407	45.6170159949917
"AqFl2-14"	34.0312687201469	38.5843852362695	37.5092220037387	57.4513597331819	51.5519539018722	44.5631768153736	36.5107750490789	34.5282625751584	32.3228232489613	29.593457252599	41.2472196614559	47.0817056352221	24.9443005685903	0	35.1153389277437	35.5710733106381	29.1060094270068	38.5429289652161	32.9019786175022	38.0745460836278	17.5379577666607	10.24745675778	42.6070348183319	49.5047878641163	29.9083950871938	38.7419699189335	37.3131145936773	33.8506621552422	48.9190658961509	39.5250831073847	33.8229987215124	40.2470449260537	31.4341592213438	40.276032942192	44.7936919964786	32.2331072695038	26.2666677577986	30.6812791759687	42.2020314132494	51.860867999443	36.729816218629	44.6424731818614	27.4199067796146	41.5723649623095	38.4827018199412	29.1842543189408	23.2333427682102	30.9441087004797	35.5818655502076	32.8005640540178	39.5626930181393	45.9629325212831	42.3560988637562	48.6190917324162	44.6015751989547	29.3868262424726	27.2286670365954	30.1186653820025	47.1229892046529	35.104856715827	20.4070148021965	20.874312604616	47.0313474479995	39.836371259556	21.6863117388363	19.2352864369843	18.5236944054049	24.951536549031	30.7003597718098	30.2306231855278	30.647720197401	44.9626142680152
"AqFl2-15"	40.2975678762952	37.1877197038477	33.1462691886648	37.691711267874	35.1339943782218	36.4514046098356	62.2188081881416	37.2392054198841	30.7512343665757	39.0729117058834	37.6228879184596	30.7817441361254	31.7490581860744	35.1153389277437	0	34.3752989972246	31.1862602946387	25.150821609042	39.0960490124018	40.0429071209257	39.8367162953805	41.9949124008002	32.281989281233	22.3796765740235	52.7563744598117	43.9895115252572	36.6006119516978	42.1464792264742	28.8913422454994	26.2394311760049	39.4414002261418	36.3636674565274	38.5726469317981	41.4401279357087	17.2870813414508	19.3124124313177	31.7703802582571	34.5821766892361	39.0492683066909	30.9601179414329	27.8385274170578	33.4645650108581	38.2880639406909	41.106062228356	40.5312197935012	45.979536596495	20.947539739655	24.5950975560424	38.9660455982539	25.858630989018	31.2597552682772	26.5267697372664	35.9718614039365	26.9184848107416	34.8790688627823	42.6550177652421	41.9838082737733	30.3505666587578	34.1691483303508	29.2150277433569	33.5103941103995	29.5322147945025	31.2292678253199	32.5139300184326	38.4543861390109	28.907200052112	39.2903537466153	36.185981805823	35.8510895912788	44.42544704293	29.1247634447451	20.5246039027309
"AqFl2-16"	49.8026529830991	35.2858305728998	27.2363844785139	59.4641732242103	45.266447651396	22.0472340183619	49.5942591166702	23.5611223989636	26.6367944729648	50.4790667191364	19.733803023474	49.6441244117374	16.9393350911733	35.5710733106381	34.3752989972246	0	14.1892434383689	50.0553712425048	47.871846777749	36.3834716923251	28.9550358352348	39.6958425080949	20.2771126922271	44.7669635637549	44.1654987292608	32.1214920310653	23.0047072633503	40.699905159392	49.5037386672039	27.4799592498475	47.4697223661508	38.2585746233663	36.4327965371595	29.3962406250689	47.6839608208223	22.7897815457207	42.6888219192121	26.6180749011031	18.1614777066984	49.5613226862096	35.3491752217975	52.2786657647771	43.139982517308	32.7234521056657	21.7197854814225	38.9862110508562	32.834382725434	42.1158634163699	53.3125748081487	32.8052056448744	32.8560547898163	48.575806544268	22.6211216134237	43.9871996289428	34.6324183719432	45.998479235114	48.5551244182869	30.4537716220881	54.0366036304426	35.5533183607203	25.7123406976195	43.250525747104	47.6362164805241	28.8525968305302	30.5356483071451	31.3240063896985	43.1720946118001	31.1689522975552	33.2775278210802	48.1939701094438	25.701719976544	47.8805091987834
"AqFl2-17"	42.298343949623	28.9800232004605	26.6544117056947	55.2999005824136	40.0443722894198	22.5394549988582	44.3849541849953	23.0335100595549	21.8113845330883	42.5508433087697	18.9968600315154	42.086017718086	19.1085461831972	29.1060094270068	31.1862602946387	14.1892434383689	0	43.2810657429644	40.2031997017647	32.040400005056	22.9170460732179	33.4325316125757	20.9758726896541	41.558805426009	37.675121101328	26.6069458976705	19.5333096771763	31.6293962015185	45.6310484551341	26.4527023203956	39.9978494647417	32.2451765489006	32.7248559459909	29.1244404732887	42.9690415957983	18.7762738243075	39.4556585647227	27.2279034484959	20.0826183228362	44.9572537146471	27.1871274678629	45.0023535079578	35.6804514108979	30.0322920268048	23.3304443413759	34.083456998829	26.6901097370238	34.5271210848636	47.4549707309716	26.7983440339069	25.4992191002878	41.3159582227115	23.4160346569072	40.970942292613	32.0140282270279	38.211647932576	40.3298982668123	22.7282188779502	46.3587185526717	29.5819229786869	21.4772084687233	34.6617451592068	40.1211426251338	22.859181761825	23.1565999991704	24.1617523567587	37.4453906120685	31.7105072027361	27.0750692222048	40.7233209643261	23.8798578487158	42.8375367935472
"AqFl2-18"	36.4424788228413	44.711107688735	39.3173996226733	31.3279344208355	39.8989711148941	50.640526178806	60.4800088307306	43.8073292330923	39.6864247761449	33.4969320376533	50.7206391482745	29.9850460348061	45.8144347623708	38.5429289652161	25.150821609042	50.0553712425048	43.2810657429644	0	36.6484055039462	48.2993773080365	47.4937424714648	42.8788040062973	47.7958258149592	35.868589706761	51.6427642231243	51.6221429233737	44.4422092968807	37.766902987326	25.8832773541063	36.4297198128281	38.2641112236712	45.2962816709714	42.2296827591629	50.7780593613905	23.8403908275198	35.1012923457434	31.6908011109453	40.9512042259631	52.1326328628354	31.441482446347	34.3050447331667	29.1919749253365	38.8045227627001	51.5797257299457	49.6858040773416	47.7482778395144	24.4235001063895	18.6080726656576	30.9891270179729	27.8626070943443	43.1542338618489	28.428869623672	46.5318473272077	32.6845819286888	46.5893350939346	40.6447616825999	36.1548393088185	36.5721205648653	22.5724665317797	28.2366898008597	38.2742434330625	25.3865513487002	32.4147551702627	44.156949820752	42.6017931606541	32.3865968864663	37.1164692220029	42.0365338322279	43.0215881926097	40.03315672109	35.439381717847	25.1419628270048
"AqFl2-19"	11.3917644913327	30.2129972228812	38.6175231753786	41.5506293319846	36.4391451455827	42.4582572035528	42.4734275795289	39.8570466486284	28.4768752025757	14.2729086845544	41.4241601857552	32.00837706467	42.5845711987351	32.9019786175022	39.0960490124018	47.871846777749	40.2031997017647	36.6484055039462	0	28.3945279247759	41.2095549701281	35.7472515526073	41.2139325387898	44.0480457719692	30.357038470329	33.976543528282	36.4832388250085	33.5615803921806	40.1512852142026	34.8846316741132	11.0950867428208	29.6339999809679	20.7225401400759	34.3934027061926	40.642151643729	35.1170423203561	29.458624367518	39.7767110263128	43.1830150058678	35.1670640455958	28.0809565003998	27.2586853243366	13.1182975240339	34.0265124238495	39.5334091953728	24.3575820680675	36.3303361393562	35.3021490496362	23.2869803480204	27.5499722835944	36.4835834159136	35.2309657676002	39.1345732960116	35.2576445750063	34.2906503035807	13.995220917518	17.4895905731569	27.416676761844	33.3588811335675	30.2354923407791	36.8620138200581	21.6452242786687	31.6792454229249	35.4881926264662	44.8446092582572	40.6637762106877	28.4317194188245	41.3871615054593	26.1842808176358	16.8918802565786	38.634089056528	38.8427291681796
"AqFl2-20"	30.6837450629375	17.5450416020438	38.7019009198654	52.7406921196998	32.7696959752366	27.8044819855949	48.5698648734073	37.0450462295957	18.7029562669353	35.2365834128	26.6810614883825	36.8595435992631	33.2488038194199	38.0745460836278	40.0429071209257	36.3834716923251	32.040400005056	48.2993773080365	28.3945279247759	0	36.4263342925248	42.6516851176103	25.9655344569493	40.2168120736684	37.7130285701813	16.828759794989	29.9910317400347	40.3397715037695	48.6088114496433	31.6397971557865	26.7765510732686	16.1274908042376	25.3156065228498	22.20680787307	44.6330841944095	28.256693401543	41.2543458046748	40.0005022919364	29.0957502359661	39.9105551560505	25.9120973004074	35.4510739869802	25.9639594707286	13.8367251762243	30.5262939598394	30.0562763859155	42.2109405014419	44.4504271937448	43.3190458422292	32.652217929997	26.1022529795311	39.1125931173036	30.0044242070045	35.58424052417	20.5114330449495	29.0585562771737	36.6730869511058	24.6362479991236	47.0774942912257	37.4962402857789	37.0643838831165	35.7009626093982	34.6317808938762	23.1803186703202	45.9109382379531	44.648708430001	41.7933858174257	42.0355850901866	15.9232679247886	34.4928196998592	39.9981194999547	43.3938953627182
