""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-11"	0.803435547451266	0.661941788511413	0.676595240448096	0.711051442688789	0.744063562349009	0.533361664322119	0.863394094645746	0.5802563703435	0.662820402176259	0.873529507887316	0	0.829611692262315	0.332080168682663	0.727262333137597	0.569294537595871	0.553307221044976	0.374844566876952	0.782518713142347	0.837394058204211	0.724000006136565	0.783225632379196	0.803034069053781	0.375604797725892	0.708980087303707	0.866076948491126	0.583482621713982	0.595115827751738	0.859557073856897	0.808230575955415	0.419741653130642	0.838335904661521	0.667053497830032	0.839291119348404	0.572693176713081	0.689082474961445	0.439582191864866	0.833440128593848	0.634021158747822	0.458740512153365	0.756102464090603	0.877571645407751	0.875010068985857	0.606073530126052	0.588098372185155	0.840552802667762	0.578112023502934	0.843295157094068	0.85614755407011	0.528621804894043	0.5391480061394	0.776779636158123	0.471233392555853	0.78478701240592	0.57827060117443	0.853266363340992	0.864884762459337	0.567393181945592	0.772562099201997	0.498701712984641	0.862908493095499	0.816986861394461	0.447653752711875	0.636429958276681	0.713401423467022	0.861681362386655	0.653338860680334	0.651504851264843	0.850432234030181	0.571287555756886	0.735668618656404
"AqFl2-12"	0.757691504167146	0.784241713716211	0.949395970647789	0.640804523636232	0.579519418823942	0.839691776245479	0.776879228212356	0.873913252123611	0.799397732023837	0.772355733437931	0.829611692262315	0	0.803276892635014	0.814602383277482	0.654545323209651	0.896465939723932	0.829895448565644	0.585157894512588	0.753171432796604	0.739991465083402	0.824686262681773	0.735441262748217	0.806868596802794	0.613991140498675	0.773183318555784	0.76150094452477	0.790894562788524	0.642788599590795	0.626585844070208	0.846512601362796	0.780630686385314	0.768103760548352	0.75676801072284	0.79557120656304	0.599696317747693	0.741875417535112	0.790449166498396	0.856141089527027	0.844246228086763	0.627811073970925	0.628505334309525	0.770420622063345	0.779677690182336	0.835395095132087	0.782731310831136	0.776992431882875	0.61812924890664	0.780384746651346	0.74495135493058	0.826824200731412	0.624672486914924	0.834577006569083	0.629691441452293	0.812178508011174	0.757858120375548	0.764028471434443	0.783702816768912	0.578181881065789	0.80736622705975	0.796778753366542	0.543242461837954	0.7987728659672	0.923609459530483	0.882710385740358	0.792099835772521	0.78498945122204	0.765203242765625	0.791706888330325	0.835206887655743	0.621807099669954
"AqFl2-13"	0.716817394595591	0.53838481915786	0.749593359092709	0.697250520806678	0.721237368939389	0.600077658597034	0.78398999895122	0.588398605148612	0.520250631376106	0.802293825379268	0.332080168682663	0.803276892635014	0	0.582599254155221	0.609763199295514	0.646263726315046	0.497194232094019	0.762433336178426	0.757207073597971	0.595863182352758	0.60701026859818	0.684661227362048	0.498346184363842	0.6946549897622	0.787816965501779	0.440224099123007	0.611192783553004	0.814932543090595	0.772565728042334	0.530778669125795	0.762874832335889	0.498913011716795	0.77523552694043	0.395191403685205	0.717812042061268	0.432827717390424	0.748383335300529	0.489424664472391	0.556288874804616	0.739161221164576	0.803148782943032	0.810638218091649	0.430032676456229	0.489267821157784	0.772238689435982	0.610233280978884	0.817638829936404	0.781448681653408	0.456683467110664	0.617773087114338	0.758127343989736	0.521415309258654	0.733102196534575	0.462248683308366	0.784837513675143	0.795513173175534	0.441907749017445	0.770195415403142	0.346236283157226	0.765825635705242	0.782555955767306	0.580191483381055	0.739327918247828	0.776085030840512	0.784037398791778	0.477091573985433	0.480874150002222	0.779173544134623	0.540493841672211	0.708640656036063
"AqFl2-14"	0.600959980983028	0.656944950607436	0.901216845753768	0.725867825514004	0.700705581983463	0.820100244320211	0.589186455507762	0.790921779101648	0.687429490281311	0.625457681077035	0.727262333137597	0.814602383277482	0.582599254155221	0	0.773651714159697	0.861211010617689	0.74219481619875	0.714837311638771	0.604276640879954	0.591360034591332	0.664371837534297	0.544345200475734	0.798844085100523	0.689247783726682	0.59686774982613	0.597540561112263	0.794227255810262	0.753080432621433	0.752756338325748	0.82246528746226	0.602842991940387	0.581918255316814	0.625928333566904	0.554293954155829	0.758715530389545	0.675540300592964	0.584241921572079	0.681665551586529	0.822366302425563	0.752210247806622	0.725003269023472	0.64994937912729	0.576090184167962	0.751359011801983	0.621656642657317	0.752392589051547	0.718996373889528	0.578385623369601	0.52307448571781	0.782680227251773	0.720822393254389	0.824610478416803	0.701653250090551	0.665265577381413	0.62564176960075	0.624022422961148	0.641319415184855	0.728420577792095	0.569632200298036	0.566464437168447	0.746750728043837	0.789821494234395	0.849830296202476	0.867159525265779	0.577906477039082	0.573861301288685	0.504163831801451	0.610459476988299	0.769030700999593	0.71511877521159
"AqFl2-15"	0.772595766903722	0.677673388299805	0.76888548022989	0.538977169366297	0.648875455350075	0.654300725341934	0.83862939248369	0.669452897747322	0.669829166702682	0.834989199747489	0.569294537595871	0.654545323209651	0.609763199295514	0.773651714159697	0	0.672886217565516	0.648416474236936	0.687076199734781	0.779380511150088	0.664394783627089	0.786284778553831	0.792841088453503	0.471048228059234	0.643748575697685	0.828990882736402	0.644331693232088	0.5575714851112	0.746039361505012	0.661764113372944	0.547674109176651	0.800298002137007	0.702761430965206	0.796169502451908	0.69126194936049	0.4670668422269	0.582001015611559	0.750174522558849	0.682502566673548	0.603026037765034	0.602895707231201	0.751150709772538	0.842513882955264	0.593945260668991	0.637884935882741	0.810237457201183	0.609917633021521	0.696241643378659	0.813720511488884	0.584623508123399	0.627717761483193	0.566500004933426	0.600991472484642	0.637943399926617	0.640251041845857	0.811140455725733	0.837406934751311	0.661980052576399	0.650439544339962	0.618650305398392	0.850817478779685	0.665129799391723	0.572994220402925	0.877609440634682	0.779150399195801	0.846352424328916	0.660897159249412	0.694479940656134	0.824775589455901	0.667143663051536	0.556535010573365
"AqFl2-16"	0.893554962531636	0.723014750445506	0.608419459340922	0.82125301232473	0.844223678069815	0.516769622848079	0.93534845270386	0.682730388013549	0.674166049470889	0.938079288349924	0.553307221044976	0.896465939723932	0.646263726315046	0.861211010617689	0.672886217565516	0	0.557480877640987	0.904789114139679	0.906859031363437	0.816015506058018	0.820704987196996	0.912770261178624	0.499160120348709	0.853779245753529	0.937133728230101	0.739550537265251	0.578961668654421	0.944392410772086	0.877990025416961	0.541670214279441	0.906849800548203	0.778188345484975	0.902281270369154	0.761956086556578	0.804701269977662	0.681696162692503	0.881637478570696	0.612868275707908	0.460157622524554	0.837618967101571	0.937454800416141	0.940555627089425	0.705128492448997	0.630222172106799	0.903125377670477	0.709834589475429	0.896150407822566	0.925544963590463	0.715298346116556	0.508330835814446	0.841183725458413	0.468262094091194	0.840727471982747	0.584718231467944	0.917798341838907	0.93727210535818	0.763387346687223	0.909058091484149	0.750270785983935	0.945072732847774	0.885934252821207	0.611497110410237	0.814915545056397	0.818026381047864	0.928108653913927	0.763994775033986	0.809922706130282	0.91562237162757	0.685218934943003	0.82569697463065
"AqFl2-17"	0.809426510087438	0.672949027466285	0.676542245194006	0.773662515958595	0.762213827068839	0.441885688722127	0.85692504859201	0.59348793244182	0.567387882994144	0.86566141566757	0.374844566876952	0.829895448565644	0.497194232094019	0.74219481619875	0.648416474236936	0.557480877640987	0	0.794308587474487	0.826256787031604	0.710817803302439	0.795524917596328	0.812151045820521	0.517247337313039	0.73959273958562	0.862396612586545	0.653211052670314	0.57530541127493	0.87425408418888	0.801930950858221	0.581041765400649	0.831413081030356	0.678973908041517	0.843025396599319	0.578829734004131	0.676072910282374	0.502203997532062	0.835350943431078	0.687315681791731	0.589777350910885	0.780322325714797	0.877381593735088	0.86639054705224	0.647248975046241	0.677246280202013	0.838295883574032	0.65767072695539	0.831771256081824	0.846732268719288	0.582218379320835	0.388657630668929	0.783513611526233	0.616311670092971	0.76876488831198	0.568879211425952	0.84261948244179	0.843577299005712	0.605359743890302	0.800369184829179	0.546769374198119	0.859454501190115	0.82919478982758	0.550138524621658	0.697045282506031	0.645273106406441	0.837431844166122	0.714006808492855	0.688780345163808	0.847685491147166	0.652089186915008	0.783238360513872
"AqFl2-18"	0.713679476006092	0.815023327602313	0.908982052747425	0.600328810629444	0.55782890748624	0.853133257823969	0.737808055505211	0.826161315621296	0.811448335164351	0.758884843737365	0.782518713142347	0.585157894512588	0.762433336178426	0.714837311638771	0.687076199734781	0.904789114139679	0.794308587474487	0	0.708414876314528	0.72628307416558	0.850916450103852	0.760284494779973	0.826982151453038	0.567219259406305	0.742925610213	0.756134416285225	0.818088267958282	0.562636463234443	0.571699304066749	0.861761279555746	0.734455350152811	0.781941581387413	0.702298155903287	0.777447744862392	0.573826137480834	0.685460407414492	0.736929121480635	0.835436242886697	0.872145870064429	0.540238086732643	0.621936665267583	0.747864258988579	0.778102614293756	0.855033264811376	0.743797442160455	0.766529171046613	0.553889817211242	0.712098609137105	0.693282084074419	0.844539173388656	0.608214155307519	0.849549274768328	0.608285041594398	0.815896557310384	0.729573077531407	0.744238052581114	0.723619321433644	0.523379288015267	0.721923197281265	0.770529398042441	0.580984980545245	0.797704536869155	0.885255323493267	0.877385075953778	0.729148201547029	0.756246343317966	0.731658817360028	0.7378129825165	0.832611525171135	0.613754153283
"AqFl2-19"	0.467296516756622	0.774892266322469	0.940440000336484	0.757470550173306	0.657687711262967	0.87568945078474	0.459320293895412	0.884220092589226	0.756344248612705	0.409396140201267	0.837394058204211	0.753171432796604	0.757207073597971	0.604276640879954	0.779380511150088	0.906859031363437	0.826256787031604	0.708414876314528	0	0.64063911530309	0.782350579069363	0.592160928066571	0.863653180042385	0.724850410314659	0.46453995851389	0.752777054184829	0.81628018989718	0.760463233026369	0.715771499904196	0.881374142915457	0.422263497246725	0.756177025438763	0.435077553648127	0.690485077548502	0.742892719378922	0.786477318513135	0.518558233675505	0.833028222315152	0.881190537361896	0.706302884407278	0.629152003288849	0.414091266657583	0.723585512069417	0.825811153072598	0.437446369561211	0.838228323854238	0.697651695093899	0.423343946679306	0.660589381927642	0.865758015684625	0.705588373222005	0.879263453706991	0.655551273271855	0.771394783516902	0.365950311093258	0.423558534210223	0.693738109943804	0.703081121195505	0.744518595633496	0.427989223412297	0.709444947156632	0.8539504016148	0.926026411936941	0.921885316207725	0.403246232119071	0.72872380766727	0.632383474929359	0.414962934587293	0.852291158571436	0.72713641941603
"AqFl2-20"	0.600109628031143	0.577645565751366	0.865247223925029	0.703718633702181	0.725312212191953	0.761706179227791	0.67715331502826	0.735362379918224	0.563423549004315	0.695772872858982	0.724000006136565	0.739991465083402	0.595863182352758	0.591360034591332	0.664394783627089	0.816015506058018	0.710817803302439	0.72628307416558	0.64063911530309	0	0.620580185926583	0.570991403499534	0.696874712681769	0.704754572771318	0.672089086646082	0.501293237378336	0.689910408013429	0.806551643663797	0.738921099553855	0.740494070451354	0.645855604297836	0.534763907939079	0.685196780910019	0.546200528182463	0.656914521241568	0.649585627376734	0.629935782325096	0.64619620266331	0.754767216865435	0.709163583031564	0.666068242214954	0.701840379590019	0.472050049957187	0.654982624730347	0.673406214297928	0.693125339651135	0.736080131923007	0.657278065770249	0.552969202844332	0.717435349819493	0.709322640920971	0.743675104956043	0.674158357585587	0.605073565237704	0.668729158959783	0.692116533333283	0.564305692207409	0.759201666047662	0.574121027073383	0.650501298017745	0.740459908162168	0.696762518097389	0.895692281135112	0.81794218713241	0.673371053780156	0.557279227967852	0.52431600469434	0.678564239580073	0.720268184224125	0.67931145433442
