""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-11"	0.986062717770035	0.883720930232558	0.75	0.941176470588235	0.954545454545455	0.6	1	0.769230769230769	0.833333333333333	0.992779783393502	0	0.951923076923077	0.807692307692308	0.976	0.883720930232558	0.6875	0.65	0.982456140350877	0.990322580645161	0.936708860759494	0.948717948717949	0.986754966887417	0.5	0.942528735632184	0.996710526315789	0.891891891891892	0.727272727272727	0.982905982905983	0.962406015037594	0.5	0.993288590604027	0.893617021276596	0.984662576687117	0.897959183673469	0.938461538461538	0.681818181818182	0.976744186046512	0.814814814814815	0.538461538461538	0.957264957264957	0.973684210526316	0.987220447284345	0.898305084745763	0.818181818181818	0.991097922848665	0.80952380952381	0.985714285714286	0.985915492957746	0.86046511627907	0.722222222222222	0.96	0.642857142857143	0.946564885496183	0.793103448275862	0.993827160493827	0.990066225165563	0.818181818181818	0.97029702970297	0.84375	0.987012987012987	0.96	0.666666666666667	0.933333333333333	0.857142857142857	0.98961937716263	0.923076923076923	0.931034482758621	0.996677740863787	0.705882352941177	0.955056179775281
"AqFl2-12"	0.944444444444444	0.921259842519685	0.980392156862745	0.833333333333333	0.823834196891192	0.942307692307692	0.969613259668508	0.980582524271845	0.930232558139535	0.939481268011527	0.951923076923077	0	0.956521739130435	0.941463414634146	0.877049180327869	0.962264150943396	0.935779816513762	0.78698224852071	0.953125	0.932098765432099	0.96	0.956896551724138	0.932038834951456	0.809210526315789	0.963157894736842	0.934426229508197	0.926605504587156	0.837988826815642	0.817708333333333	0.961165048543689	0.937158469945355	0.931818181818182	0.95	0.948529411764706	0.838235294117647	0.917431192660551	0.93448275862069	0.956896551724138	0.941176470588235	0.773255813953488	0.796610169491525	0.934383202099738	0.915492957746479	0.954545454545455	0.956204379562044	0.944444444444444	0.815384615384615	0.935028248587571	0.904761904761905	0.953271028037383	0.844311377245509	0.951456310679612	0.798941798941799	0.921739130434783	0.959899749373434	0.946524064171123	0.942148760330578	0.815950920245399	0.958677685950413	0.947882736156352	0.790055248618785	0.933962264150943	1	0.980582524271845	0.935754189944134	0.971631205673759	0.929411764705882	0.960106382978723	0.972222222222222	0.833333333333333
"AqFl2-13"	0.955017301038062	0.843137254901961	0.869565217391304	0.949367088607595	0.958041958041958	0.857142857142857	0.961267605633803	0.826086956521739	0.775510204081633	0.956834532374101	0.807692307692308	0.956521739130435	0	0.879032258064516	0.843137254901961	0.666666666666667	0.733333333333333	0.941666666666667	0.958199356913183	0.869047619047619	0.731707317073171	0.899328859060403	0.769230769230769	0.927083333333333	0.967320261437909	0.761904761904762	0.852941176470588	0.968253968253968	0.950704225352113	0.791666666666667	0.963333333333333	0.833333333333333	0.954128440366973	0.839285714285714	0.933333333333333	0.787878787878788	0.915492957746479	0.696969696969697	0.846153846153846	0.944444444444444	0.938144329896907	0.955414012738854	0.8125	0.724137931034483	0.961538461538462	0.838709677419355	0.959183673469388	0.947183098591549	0.775510204081633	0.866666666666667	0.973214285714286	0.846153846153846	0.920289855072464	0.789473684210526	0.959876543209877	0.963934426229508	0.75	0.973214285714286	0.628571428571429	0.925438596491228	0.955555555555556	0.870967741935484	0.826086956521739	0.714285714285714	0.944250871080139	0.735849056603774	0.857142857142857	0.966996699669967	0.821428571428571	0.927835051546392
"AqFl2-14"	0.729299363057325	0.861313868613139	1	0.93491124260355	0.944206008583691	0.984251968503937	0.735483870967742	0.991869918699187	0.878571428571429	0.722772277227723	0.976	0.941463414634146	0.879032258064516	0	0.909090909090909	0.959677419354839	0.953488372093023	0.923076923076923	0.72809667673716	0.753246753246753	0.826771653543307	0.681818181818182	0.959677419354839	0.924731182795699	0.748484848484849	0.8359375	0.961832061068702	0.944186046511628	0.939655172413793	0.975609756097561	0.708860759493671	0.814814814814815	0.745714285714286	0.8	0.940119760479042	0.946153846153846	0.698412698412698	0.861788617886179	0.984	0.925233644859813	0.856603773584906	0.746312684365782	0.79020979020979	0.919354838709677	0.734463276836158	0.9609375	0.931623931623932	0.754716981132076	0.845588235294118	0.952	0.934673366834171	0.975806451612903	0.886877828054299	0.891472868217054	0.738372093023256	0.737003058103975	0.886363636363636	0.955665024630542	0.8671875	0.694656488549618	0.927927927927928	0.976744186046512	0.966666666666667	0.957983193277311	0.713826366559486	0.776119402985075	0.735849056603774	0.746177370030581	0.976377952755906	0.913513513513514
"AqFl2-15"	0.957516339869281	0.898550724637681	0.951219512195122	0.837209302325581	0.885906040268456	0.911111111111111	0.987012987012987	0.952380952380952	0.884057971014493	0.959322033898305	0.883720930232558	0.877049180327869	0.843137254901961	0.909090909090909	0	0.775	0.829787234042553	0.857142857142857	0.963525835866261	0.923076923076923	0.887096774193548	0.965714285714286	0.804878048780488	0.83495145631068	0.981651376146789	0.904761904761905	0.923076923076923	0.886363636363636	0.855172413793103	0.878048780487805	0.952076677316294	0.904109589041096	0.959420289855072	0.962025316455696	0.845238095238095	0.86	0.935622317596567	0.846153846153846	0.906976744186046	0.854961832061069	0.901477832512315	0.944954128440367	0.879518072289157	0.941176470588235	0.966292134831461	0.795454545454545	0.866666666666667	0.94314381270903	0.796875	0.866666666666667	0.88135593220339	0.880952380952381	0.863013698630137	0.894736842105263	0.970930232558139	0.962616822429907	0.901639344262295	0.831858407079646	0.859649122807018	0.930612244897959	0.863309352517986	0.844444444444444	0.9	0.871794871794872	0.950819672131147	0.909090909090909	0.93859649122807	0.978328173374613	0.91304347826087	0.79
"AqFl2-16"	0.986111111111111	0.911111111111111	0.769230769230769	0.942028985507246	0.954887218045113	0.705882352941177	1	0.785714285714286	0.863636363636364	0.992805755395683	0.6875	0.962264150943396	0.666666666666667	0.959677419354839	0.775	0	0.6	0.955357142857143	0.990353697749196	0.950617283950617	0.833333333333333	0.980132450331126	0.533333333333333	0.918604651162791	1	0.95	0.791666666666667	0.983050847457627	0.962686567164179	0.642857142857143	0.993311036789298	0.918367346938776	0.984709480122324	0.92156862745098	0.90625	0.75	0.962441314553991	0.730769230769231	0.75	0.957627118644068	0.968421052631579	0.987261146496815	0.918032786885246	0.826086956521739	0.994100294985251	0.7	0.963768115942029	0.978798586572438	0.780487804878049	0.736842105263158	0.970588235294118	0.666666666666667	0.946969696969697	0.875	0.993846153846154	0.993421052631579	0.857142857142857	0.970588235294118	0.733333333333333	0.973799126637555	0.968503937007874	0.75	0.692307692307692	0.583333333333333	0.979094076655052	0.836734693877551	0.955555555555556	1	0.789473684210526	0.919540229885057
"AqFl2-17"	0.979452054794521	0.854166666666667	0.777777777777778	0.932432432432432	0.941605839416058	0.6	0.996551724137931	0.85	0.782608695652174	0.985815602836879	0.65	0.935779816513762	0.733333333333333	0.953488372093023	0.829787234042553	0.6	0	0.957627118644068	0.984126984126984	0.916666666666667	0.883720930232558	0.967741935483871	0.6	0.9	0.993548387096774	0.883720930232558	0.75	0.967213114754098	0.949275362318841	0.684210526315789	0.986798679867987	0.865384615384615	0.981927710843373	0.890909090909091	0.914285714285714	0.714285714285714	0.958715596330275	0.741935483870968	0.7	0.951219512195122	0.958762886597938	0.981132075471698	0.857142857142857	0.862068965517241	0.985380116959064	0.769230769230769	0.972413793103448	0.97212543554007	0.808510638297872	0.636363636363636	0.952830188679245	0.761904761904762	0.933823529411765	0.8	0.987841945288754	0.98371335504886	0.85	0.952830188679245	0.810810810810811	0.97008547008547	0.954198473282443	0.708333333333333	0.789473684210526	0.722222222222222	0.972508591065292	0.854545454545454	0.924731182795699	0.993485342019544	0.791666666666667	0.924731182795699
"AqFl2-18"	0.933884297520661	0.933333333333333	1	0.825174825174825	0.768421052631579	0.982608695652174	0.961748633879781	0.990990990990991	0.949275362318841	0.931623931623932	0.982456140350877	0.78698224852071	0.941666666666667	0.923076923076923	0.857142857142857	0.955357142857143	0.957627118644068	0	0.932114882506527	0.922155688622755	0.954198473282443	0.944915254237288	0.955357142857143	0.810126582278481	0.958441558441558	0.954198473282443	0.957983193277311	0.778409090909091	0.78125	0.982142857142857	0.92972972972973	0.942857142857143	0.950859950859951	0.979591836734694	0.786764705882353	0.940677966101695	0.932432432432432	0.942148760330578	0.982300884955752	0.795580110497238	0.807377049180328	0.9328165374677	0.926666666666667	0.983333333333333	0.939172749391727	0.919642857142857	0.797979797979798	0.91830985915493	0.909774436090226	0.965217391304348	0.780487804878049	0.982300884955752	0.787564766839378	0.96031746031746	0.931645569620253	0.939153439153439	0.961538461538462	0.802395209580838	0.944444444444444	0.942307692307692	0.804232804232804	0.947368421052632	0.962962962962963	0.962962962962963	0.916201117318436	0.944444444444444	0.94413407821229	0.938666666666667	0.982758620689655	0.826086956521739
"AqFl2-19"	0.622641509433962	0.917460317460317	1	0.938953488372093	0.925187032418953	0.993589743589744	0.616306954436451	0.996753246753247	0.927899686520376	0.61501210653753	0.990322580645161	0.953125	0.958199356913183	0.72809667673716	0.963525835866261	0.990353697749196	0.984126984126984	0.932114882506527	0	0.825545171339564	0.92948717948718	0.722063037249284	0.980519480519481	0.962264150943396	0.625287356321839	0.92258064516129	0.977707006369427	0.935400516795866	0.946210268948655	0.99025974025974	0.62093023255814	0.883495145631068	0.591422121896163	0.891373801916933	0.956772334293948	0.974522292993631	0.660574412532637	0.951612903225806	0.990291262135922	0.907894736842105	0.829736211031175	0.604118993135011	0.856230031948882	0.967637540453074	0.611842105263158	0.987261146496815	0.928571428571429	0.667431192660551	0.927899686520376	0.983922829581994	0.935656836461126	0.987012987012987	0.906091370558376	0.938511326860841	0.602708803611738	0.609302325581395	0.949367088607595	0.94973544973545	0.942307692307692	0.645244215938303	0.923664122137405	0.980707395498392	0.996753246753247	0.996753246753247	0.623529411764706	0.909375	0.819571865443425	0.6	0.990384615384615	0.930747922437673
"AqFl2-20"	0.820598006644518	0.808510638297872	0.987179487179487	0.9375	0.931216931216931	0.950617283950617	0.843853820598007	0.974358974358974	0.78494623655914	0.829351535836177	0.936708860759494	0.932098765432099	0.869047619047619	0.753246753246753	0.923076923076923	0.950617283950617	0.916666666666667	0.922155688622755	0.825545171339564	0	0.820224719101124	0.774011299435028	0.896103896103896	0.931506849315068	0.83596214511041	0.734939759036145	0.917647058823529	0.942196531791908	0.947916666666667	0.948717948717949	0.833333333333333	0.765957446808511	0.841642228739003	0.770833333333333	0.91869918699187	0.879518072289157	0.791489361702128	0.784810126582278	0.949367088607595	0.931034482758621	0.859030837004405	0.827692307692308	0.71	0.875	0.852272727272727	0.927710843373494	0.943589743589744	0.826666666666667	0.846938775510204	0.925925925925926	0.943396226415094	0.949367088607595	0.89010989010989	0.821428571428571	0.846153846153846	0.828571428571429	0.829545454545455	0.95	0.825581395348837	0.808	0.92817679558011	0.926829268292683	0.974358974358974	0.961038961038961	0.832786885245902	0.8	0.733870967741935	0.845425867507886	0.951219512195122	0.909722222222222
